from	to	weight
Policana albopilosa	Aristotelia chilensis	1
Bombus dahlbomii	Alstroemeria aurea	1
Bombus dahlbomii	Berberis darwinii	1
Ruizantheda mutabilis	Aristotelia chilensis	1
Ruizantheda mutabilis	Rosa eglanteria	1
Trichophthalma amoena	Ribes magellanicum	1
Syrphus octomaculatus	Alstroemeria aurea	1
Syrphus octomaculatus	Berberis darwinii	1
Syrphus octomaculatus	Rosa eglanteria	1
Manuelia gayi	Alstroemeria aurea	1
Allograpta.Toxomerus	Alstroemeria aurea	1
Allograpta.Toxomerus	Rosa eglanteria	1
Allograpta.Toxomerus	Ribes magellanicum	1
Allograpta.Toxomerus	Calceolaria crenatiflora	1
Trichophthalma jaffueli	Alstroemeria aurea	1
Phthiria	Alstroemeria aurea	1
Phthiria	Mutisia decurrens	1
Platycheirus1	Aristotelia chilensis	1
Platycheirus1	Alstroemeria aurea	1
Sapromyza.Minettia	Alstroemeria aurea	1
Formicidae3	Cynanchum diemii	1
Nitidulidae	Cynanchum diemii	1
Staphilinidae	Alstroemeria aurea	1
Staphilinidae	Rosa eglanteria	1
Ichneumonidae4	Aristotelia chilensis	1
Ichneumonidae4	Schinus patagonicus	1
Braconidae3	Cynanchum diemii	1
Chalepogenus caeruleus	Calceolaria crenatiflora	1
Vespula germanica	Alstroemeria aurea	1
Torymidae2	Cynanchum diemii	1
Phthiria1	Alstroemeria aurea	1
Svastrides melanura	Alstroemeria aurea	1
Sphecidae	Alstroemeria aurea	1
Thomisidae	Alstroemeria aurea	1
Corynura prothysteres	Aristotelia chilensis	1
Corynura prothysteres	Alstroemeria aurea	1
Ichneumonidae2	Alstroemeria aurea	1
Ruizantheda proxima	Alstroemeria aurea	1
Braconidae2	Aristotelia chilensis	1
